Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
312,"20240906","20180601","107","臺東縣","10014","所有權部總計","",""
313,"20240906","20231017","112","臺中市","66000","私有保留地","1298.807","6414"
314,"20240906","20231017","112","臺中市","66000","國有土地","5083.467","13360"
315,"20240906","20231017","112","臺中市","66000","省有土地","0","0"
316,"20240906","20231017","112","臺中市","66000","縣有土地","0","0"
317,"20240906","20231017","112","臺中市","66000","鄉有土地","5.289","71"
318,"20240906","20231017","112","臺中市","66000","公有土地","5088.756","13431"
319,"20240906","20231017","112","臺中市","66000","其他單位","1.254","2"
320,"20240906","20231017","112","臺中市","66000","所有權部總計","6388.817","19847"
321,"20240906","20231017","112","基隆市","10017","私有保留地","0.283","192"
322,"20240906","20231017","112","基隆市","10017","國有土地","3.104","47"
323,"20240906","20231017","112","基隆市","10017","省有土地","0","0"
324,"20240906","20231017","112","基隆市","10017","縣有土地","0","0"
325,"20240906","20231017","112","基隆市","10017","鄉有土地","0.064","2"
326,"20240906","20231017","112","基隆市","10017","公有土地","3.168","49"
327,"20240906","20231017","112","基隆市","10017","其他單位","0.001","0"
328,"20240906","20231017","112","基隆市","10017","所有權部總計","3.452","241"
329,"20240906","20231017","112","高雄市","64000","私有保留地","9261.655","19773"
330,"20240906","20231017","112","高雄市","64000","國有土地","7553.88","6684"
331,"20240906","20231017","112","高雄市","64000","省有土地","0","0"
332,"20240906","20231017","112","高雄市","64000","縣有土地","0","0"
333,"20240906","20231017","112","高雄市","64000","鄉有土地","17.68","191"
334,"20240906","20231017","112","高雄市","64000","公有土地","7571.56","6875"
335,"20240906","20231017","112","高雄市","64000","其他單位","1.868","5"
336,"20240906","20231017","112","高雄市","64000","所有權部總計","16835.083","26653"
337,"20240906","20231017","112","新北市","65000","私有保留地","1008.368","5586"
338,"20240906","20231017","112","新北市","65000","國有土地","1099.213","4078"
339,"20240906","20231017","112","新北市","65000","省有土地","0","0"
340,"20240906","20231017","112","新北市","65000","縣有土地","0","0"
341,"20240906","20231017","112","新北市","65000","鄉有土地","0.272","11"
342,"20240906","20231017","112","新北市","65000","公有土地","1099.485","4089"
343,"20240906","20231017","112","新北市","65000","其他單位","0.497","14"
344,"20240906","20231017","112","新北市","65000","所有權部總計","2108.35","9689"
345,"20240906","20231017","112","宜蘭縣","10002","私有保留地","6520.903","25578"
346,"20240906","20231017","112","宜蘭縣","10002","國有土地","8229.879","11230"
347,"20240906","20231017","112","宜蘭縣","10002","省有土地","0","0"
348,"20240906","20231017","112","宜蘭縣","10002","縣有土地","2.511","70"
349,"20240906","20231017","112","宜蘭縣","10002","鄉有土地","2.474","57"
350,"20240906","20231017","112","宜蘭縣","10002","公有土地","8234.864","11357"
